Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
C1,603,9.9mm,15.6mm,9.9mm,15.6mm,9.9mm,15.6mm,T,270,0.1uF
C2,603,14.0mm,15.6mm,14.0mm,15.6mm,14.0mm,15.6mm,T,270,0.1uF
C3,603,20.7mm,13.7mm,20.7mm,13.7mm,20.7mm,13.7mm,T,180,0.1uF
C4,603,20.7mm,15.6mm,20.7mm,15.6mm,20.7mm,15.6mm,T,180,0.1uF
C5,603,17.5mm,13.7mm,17.5mm,13.7mm,17.5mm,13.7mm,T,0,0.1uF
C6,603,17.5mm,15.6mm,17.5mm,15.6mm,17.5mm,15.6mm,T,0,10uF
C7,603,9.9mm,7.3mm,9.9mm,7.3mm,9.9mm,7.3mm,T,270,0.1uF
C8,603,14.0mm,7.3mm,14.0mm,7.3mm,14.0mm,7.3mm,T,270,0.1uF
C9,603,20.7mm,5.4mm,20.7mm,5.4mm,20.7mm,5.4mm,T,180,0.1uF
C10,603,20.7mm,7.3mm,20.7mm,7.3mm,20.7mm,7.3mm,T,180,0.1uF
C11,603,17.5mm,7.3mm,17.5mm,7.3mm,17.5mm,7.3mm,T,0,0.1uF
C12,603,17.5mm,5.4mm,17.5mm,5.4mm,17.5mm,5.4mm,T,0,10uF
D1,LED-0603,2.3mm,8.3mm,2.3mm,8.3mm,2.3mm,8.3mm,T,90,RED
J3,JST04_1MM_RA,5.8mm,25.4mm,5.8mm,25.4mm,5.8mm,25.4mm,T,270,I2C
J4,JST04_1MM_RA,19.4mm,25.4mm,19.4mm,25.4mm,19.4mm,25.4mm,T,90,I2C
R1,603,12.4mm,19.4mm,12.4mm,19.4mm,12.4mm,19.4mm,T,90,10k
R2,603,9.9mm,19.4mm,9.9mm,19.4mm,9.9mm,19.4mm,T,90,10k
R3,603,12.4mm,15.6mm,12.4mm,15.6mm,12.4mm,15.6mm,T,90,10k
R4,603,12.4mm,11.1mm,12.4mm,11.1mm,12.4mm,11.1mm,T,90,10k
R5,603,9.9mm,11.1mm,9.9mm,11.1mm,9.9mm,11.1mm,T,90,10k
R6,603,12.4mm,7.3mm,12.4mm,7.3mm,12.4mm,7.3mm,T,90,10k
R7,603,23.6mm,7.9mm,23.6mm,7.9mm,23.6mm,7.9mm,T,270,10k
R8,603,23.6mm,16.2mm,23.6mm,16.2mm,23.6mm,16.2mm,T,270,10k
R16,603,5.7mm,8.3mm,5.7mm,8.3mm,5.7mm,8.3mm,T,0,1k
U1,SOP65P490X110-12N,19.1mm,18.7mm,19.1mm,18.7mm,19.1mm,18.7mm,T,180,LTC2473IMS#PBF
U2,SOP65P490X110-12N,19.1mm,10.5mm,19.1mm,10.5mm,19.1mm,10.5mm,T,180,LTC2473IMS#PBF
